,Heartrate,TotalSteps,sleepMin,Label
194,68.78208955,10976,68,High
195,69.66871166,7485,477,Meduim
196,68.83174603,7485,477,Meduim
197,66.38278932,7485,477,Meduim
198,65.55016181,7485,477,Meduim
199,64.6416185,7485,477,Low
200,62.30246914,7485,477,Low
201,62.03151862,7485,477,Low
202,63.71559633,7485,477,Low
203,77.0310559,7485,477,Meduim
204,78.47513812,7485,477,Meduim
205,73.74311927,7485,477,Meduim
206,81.53004292,7485,477,Meduim
207,70.95755968,7485,477,Meduim
208,77.67076167,7485,477,Meduim
209,73.44366197,7485,477,Meduim
210,83.40855107,7485,477,LowA
211,96.75342466,7485,477,LowA
212,77.8847185,7485,477,Meduim
213,81.32489451,7485,477,Meduim
214,81.88683128,7485,477,Meduim
215,79.82045455,7485,477,Meduim
216,78.36220472,7485,477,Meduim
217,71.73442623,7485,477,Meduim
218,68.31446541,7485,477,Meduim
219,68.01685393,6176,363,Meduim
220,70.04142012,6176,363,Meduim
221,68.01704545,6176,363,Meduim
222,65.55428571,6176,363,Meduim
223,66.63392857,6176,363,Meduim
224,85.23972603,6176,363,LowA
225,77.34246575,6176,363,Meduim
226,76.2005277,6176,363,Meduim
227,70.22192513,6176,363,Meduim
228,67.11764706,6176,363,Meduim
229,76.99615385,6176,363,Meduim
230,80.31400966,6176,363,Meduim
231,81.28,6176,363,Meduim
232,94.152019,6176,363,LowA
233,85.40105541,6176,363,LowA
234,81.01970443,6176,363,Meduim
235,79.82897862,6176,363,Meduim
236,82.25628141,6176,363,Meduim
237,70.85310734,6176,363,Meduim
238,73.47135417,6176,363,Meduim
239,55.15151515,1515,750,Meduim
240,57.69131833,1515,750,Meduim
241,59.07491857,1515,750,Meduim
242,57.91821561,1515,750,Meduim
243,59.85972851,1515,750,Meduim
244,58.53703704,1515,750,Meduim
245,57.61111111,1515,750,Meduim
246,60.2962963,1515,750,Meduim
247,69.42533937,1515,750,Meduim
248,64.83646113,1515,750,Meduim
249,69.25252525,1515,750,Meduim
250,65.27322404,1515,750,Meduim
251,67.77777778,1515,750,Meduim
252,63.93063584,1515,750,Meduim
253,58.45317221,1515,750,Meduim
254,58.22977346,1515,750,Meduim
255,49.47289157,9917,352,Low
256,49.81350482,9917,352,Low
257,53.91919192,9917,352,Low
258,50.205696200000006,9917,352,Low
259,50.43428571,9917,352,Low
260,64.56629834,9917,352,Low
261,77.66925065,9917,352,Low
262,67.93717277,9917,352,Low
263,55.37393768,9917,352,Low
264,60.71787709,9917,352,Low
265,76.01324503,9917,352,Low
266,69.90556901,9917,352,Low
267,62.01041667,9917,352,Low
268,61.25307125,9917,352,Low
269,60.43352601,9917,352,Low
270,78.1814059,9917,352,Low
271,113.171875,9917,352,LowA
272,78.2875,9917,352,Low
273,72.14117647,9917,352,Low
274,72.30994152,9917,352,Low
275,57.65889213,9917,352,Low
276,57.92836676,9917,352,Low
277,48.70322581,9917,352,Low
278,53.83939394,9917,352,Low
279,63.16905444,12307,496,Low
280,60.52233677,12307,496,Low
281,63.02786378,12307,496,Low
282,63.02236422,12307,496,Low
283,63.7781457,12307,496,Low
284,63.48675497,12307,496,Low
285,60.93617021,12307,496,Low
286,63.37658228,12307,496,Low
287,63.06134969,12307,496,Low
288,83.79411765,12307,496,LowA
289,85.78072289,12307,496,LowA
